"ISSN","TIULO","ESTRATO"
"00044881","REVISTA DE LA ASOCIACIÓN ODONTOLÓGICA ARGENTINA","B4"
"00045276","REVISTA DA APCD","B4"
"00045276","REVISTA DA APCD - ASSOCIAÇ<U+F1C3>O PAULISTA DE CIRUGIGES DENTISTAS","B4"
"00045322","BULLETIN DE L'ASSOCIATION DE GÉOGRAPHES FRANÇAIS","B1"
"00045608","ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS","A1"
"00045632","ANNALS OF CLINICAL BIOCHEMISTRY","B1"
"00046256","THE ASTRONOMICAL JOURNAL (NEW YORK, N.Y.)","A1"
"00046264","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","B1"
"00046280","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC","A1"
"00046337","ASTRONOMISCHE NACHRICHTEN (PRINT)","B2"
"00046361","ASTRONOMY & ASTROPHYSICS (BERLIN)","A1"
"00046361","ASTRONOMY & ASTROPHYSICS (BERLIN. PRINT)","A1"
"0004637X","THE ASTROPHYSICAL JOURNAL","A1"
"0004637X","THE ASTROPHYSICAL JOURNAL LETTERS","A1"
"0004640X","ASTROPHYSICS AND SPACE SCIENCE","B1"
"00047856","AUFSCHLUSS (HEIDELBERG)","B4"
"00048038","THE AUK (WASHINGTON)","A2"
"00048038","THE AUK (WASHINGTON, D.C.)","A2"
"00048380","AUSTRALASIAN JOURNAL OF DERMATOLOGY (PRINT)","B2"
"00048402","AUSTRALASIAN JOURNAL OF PHILOSOPHY","B2"
"00048658","AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY","A2"
"00048666","THE AUSTRALIAN AND NEW ZEALAND JOURNAL OF OBSTETRICS AND GYNAECOLOGY","B1"
"00048674","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY (PRINT)","A1"
"0004881X","JOURNAL OF THE AUSTRALIAN CERAMIC SOCIETY","B1"
"00048992","AUSTRALIAN ECONOMIC HISTORY REVIEW (PRINT)","B1"
"00049158","AUSTRALIAN FORESTRY","B1"
"00049174","AUSTRALIAN GEMMOLOGIST","C "
"00049182","AUSTRALIAN GEOGRAPHER","B2"
"00049409","AUSTRALIAN JOURNAL OF AGRICULTURAL RESEARCH (PRINT)","B3"
"00049425","AUSTRALIAN JOURNAL OF CHEMISTRY (PRINT)","A2"
"00049441","AUSTRALIAN JOURNAL OF EDUCATION","B1"
"00049514","AUSTRALIAN JOURNAL OF PHYSIOTHERAPY","A1"
"00049573","AUSTRALIAN JOURNAL OF SOIL RESEARCH","B2"
"00049727","BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY","B1"
"00050423","AUSTRALIAN VETERINARY JOURNAL","B1"
"00050601","AUT AUT: RIVISTA DI FILOSOFIA E DI CULTURA","B2"
"00051098","AUTOMATICA (OXFORD)","A1"
"0005111X","AVTOMATICESKAA SVARKA (KIEV)","C "
"00052086","AVIAN DISEASES","A2"
"00052728","BIOCHIMICA ET BIOPHYSICA ACTA. BIOENERGETICS","A1"
"00052736","BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES","A1"
"00056650","DER BAUINGENIEUR","B2"
"0005772X","BEE WORLD","B4"
"00057894","BEHAVIOR THERAPY","A1"
"00057959","BEHAVIOUR (LEIDEN. PRINT)","A2"
"0005805X","BEITRÄGE ZUR ENTOMOLOGIE","C "
"00059366","BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT (1946)","B2"
"00060089","BETTER CROPS WITH PLANT FOOD","B4"
"00060593","BIBEL HEUTE","B5"
"0006291X","BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS (PRINT)","A2"
"00062928","BIOCHEMICAL GENETICS","B4"
"00062952","BIOCHEMICAL PHARMACOLOGY","A1"
"00062960","BIOCHEMISTRY (EASTON)","A2"
"00062979","BIOCHEMISTRY (NEW YORK)","B1"
